Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Neighborhood,Bldg Type,House Style,Year Built,Year Remod/Add,Garage Cars,Mo Sold,Yr Sold,Sale Condition,SalePrice
1,0526301100,020,RL,141,31770,NAmes,1Fam,1Story,1960,1960,2,5,2010,Normal,215000
2,0526350040,020,RH,80,11622,NAmes,1Fam,1Story,1961,1961,1,6,2010,Normal,105000
3,0526351010,020,RL,81,14267,NAmes,1Fam,1Story,1958,1958,1,6,2010,Normal,172000
4,0526353030,020,RL,93,11160,NAmes,1Fam,1Story,1968,1968,2,4,2010,Normal,244000
5,0527105010,060,RL,74,13830,Gilbert,1Fam,2Story,1997,1998,2,3,2010,Normal,189900
6,0527105030,060,RL,78,9978,Gilbert,1Fam,2Story,1998,1998,2,6,2010,Normal,195500
7,0527127150,120,RL,41,4920,StoneBr,TwnhsE,1Story,2001,2001,2,4,2010,Normal,213500
8,0527145080,120,RL,43,5005,StoneBr,TwnhsE,1Story,1992,1992,2,1,2010,Normal,191500
9,0527146030,120,RL,39,5389,StoneBr,TwnhsE,1Story,1995,1996,2,3,2010,Normal,236500
10,0527162130,060,RL,60,7500,Gilbert,1Fam,2Story,1999,1999,2,6,2010,Normal,189000
11,0527163010,060,RL,75,10000,Gilbert,1Fam,2Story,1993,1994,2,4,2010,Normal,175900
12,0527165230,020,RL,,7980,Gilbert,1Fam,1Story,1992,2007,2,3,2010,Normal,185000
13,0527166040,060,RL,63,8402,Gilbert,1Fam,2Story,1998,1998,2,5,2010,Normal,180400
14,0527180040,020,RL,85,10176,Gilbert,1Fam,1Story,1990,1990,2,2,2010,Normal,171500
15,0527182190,120,RL,,6820,StoneBr,TwnhsE,1Story,1985,1985,2,6,2010,Normal,212000
16,0527216070,060,RL,47,53504,StoneBr,1Fam,2Story,2003,2003,3,6,2010,Normal,538000
17,0527225035,050,RL,152,12134,Gilbert,1Fam,1.5Fin,1988,2005,2,6,2010,Normal,164000
18,0527258010,020,RL,88,11394,StoneBr,1Fam,1Story,2010,2010,3,6,2010,Partial,394432
19,0527276150,020,RL,140,19138,Gilbert,1Fam,1Story,1951,1951,2,6,2010,Normal,141000
20,0527302110,020,RL,85,13175,NWAmes,1Fam,1Story,1978,1988,2,2,2010,Normal,210000
21,0527358140,020,RL,105,11751,NWAmes,1Fam,1Story,1977,1977,2,1,2010,Normal,190000
22,0527358200,085,RL,85,10625,NWAmes,1Fam,SFoyer,1974,1974,2,1,2010,Family,170000
23,0527368020,060,FV,,7500,Somerst,1Fam,2Story,2000,2000,2,1,2010,Normal,216000
24,0527402200,020,RL,,11241,NAmes,1Fam,1Story,1970,1970,2,3,2010,Normal,149000
25,0527402250,020,RL,,12537,NAmes,1Fam,1Story,1971,2008,2,4,2010,Normal,149900
26,0527403020,020,RL,65,8450,NAmes,1Fam,1Story,1968,1968,1,7,2010,Normal,142000
27,0527404120,020,RL,70,8400,NAmes,1Fam,1Story,1970,1970,2,4,2010,Normal,126000
28,0527425090,020,RL,70,10500,NAmes,1Fam,1Story,1971,1971,0,4,2010,Normal,115000
29,0527427230,120,RH,26,5858,NAmes,TwnhsE,1Story,1999,1999,2,6,2010,Normal,184000
30,0527451180,160,RM,21,1680,BrDale,Twnhs,2Story,1971,1971,1,2,2010,Normal,96000
31,0527451330,160,RM,21,1680,BrDale,Twnhs,2Story,1971,1971,1,3,2010,Normal,105500
32,0527451410,160,RM,21,1680,BrDale,Twnhs,2Story,1971,1971,1,3,2010,Family,88000
